Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K48,SoulBoss,+309.60%,+229.60%,+254.60%,+41.50%,-4.00%,+547.04%,+73.04%,+867.20%,+1334.49%,+1302.20%,+47.25%,-53.25%,+132.00%,+411.00%,+2267.05%,+1661.50%,+1310.20%,+146.75%,-134.75%,+216.00%,+139.00%,+1751.50%,+1169.00%,+845.35%,+150.75%,-128.75%,+254.00%,+157.00%,+1698.85%,+451.50%,+1062.50%,+59.00%,-45.00%,+164.00%,+95.00%,+25.50%
K48,CEO,+344.60%,+272.10%,+289.10%,+41.50%,-41.50%,+600.00%,+201.00%,+977.20%,+1203.49%,+1351.20%,+142.75%,-167.00%,+182.00%,+700.00%,+2148.05%,+1258.50%,+1150.20%,+156.50%,-134.75%,+348.00%,+321.00%,+1950.50%,+1477.00%,+1273.35%,+160.50%,-144.75%,+575.00%,+362.00%,+1575.85%,+509.50%,+1090.50%,+138.50%,-128.50%,+167.00%,+178.00%,+22.50%
K48,[[CEO]],+219.60%,+209.10%,+233.10%,+39.00%,-39.00%,+223.36%,+180.16%,+847.70%,+1278.49%,+1340.70%,+113.50%,-129.00%,+139.00%,+162.00%,+1919.30%,+1268.50%,+667.70%,+79.60%,-72.10%,+53.50%,+35.50%,+1560.00%,+980.00%,+700.85%,+124.50%,-112.50%,+174.00%,+128.00%,+1272.10%,+278.00%,+774.50%,+47.55%,-40.70%,+43.50%,+29.50%,+20.00%
K48,Viking,+269.21%,+214.10%,+237.60%,+37.50%,-37.50%,+146.00%,+118.64%,+812.20%,+1249.99%,+1228.63%,+112.50%,-128.00%,+118.00%,+102.00%,+1440.10%,+945.50%,+631.50%,+54.95%,-51.30%,+73.00%,+62.00%,+1439.00%,+1118.00%,+648.35%,+118.85%,-115.50%,+118.00%,+130.00%,+866.45%,+524.70%,+209.50%,+35.85%,-13.70%,+32.00%,+22.50%,+12.00%
K48,Chucky,+314.60%,+264.10%,+280.10%,+40.00%,-40.00%,+381.68%,+114.54%,+1175.00%,+1403.07%,+1813.99%,+130.50%,-134.25%,+96.00%,+305.00%,+2206.20%,+1617.20%,+649.50%,+138.25%,-118.50%,+116.00%,+59.00%,+1550.50%,+1179.35%,+895.50%,+136.25%,-126.75%,+289.00%,+134.00%,+1198.50%,+448.50%,+883.50%,+44.00%,-23.00%,+74.00%,+57.00%,+21.00%
K48,janitor,+301.60%,+241.80%,+266.60%,+40.00%,-40.00%,+156.32%,+150.12%,+1457.20%,+1687.57%,+1426.13%,+140.75%,-136.25%,+134.00%,+166.00%,+1494.35%,+1166.00%,+887.00%,+125.00%,-116.50%,+93.00%,+84.00%,+1627.50%,+1260.00%,+1031.35%,+146.25%,-132.75%,+203.00%,+149.00%,+1038.00%,+717.50%,+791.00%,+44.00%,-35.50%,+79.00%,+69.00%,+20.00%
K48,™Danielle™ツ,+287.60%,+168.00%,+205.50%,+39.00%,-4.00%,+344.36%,0.00%,+709.20%,+896.92%,+1275.55%,+41.00%,-67.50%,+87.00%,+182.00%,+1852.05%,+1501.05%,+534.50%,+134.50%,-128.50%,+62.00%,+45.00%,+1156.20%,+733.05%,+656.85%,+148.25%,-132.50%,+178.00%,+134.00%,+746.50%,+265.00%,+744.50%,+37.00%,-41.00%,+58.00%,+45.00%,+20.00%
K48,СЕРЖАНТ,+232.10%,+221.60%,+244.60%,+41.50%,-41.50%,+144.48%,+144.80%,+783.20%,+993.07%,+1283.62%,+132.75%,-143.50%,+92.00%,+162.00%,+1934.80%,+1297.70%,+581.00%,+142.75%,-122.50%,+102.00%,+64.00%,+1714.50%,+1422.85%,+1009.85%,+146.75%,-128.50%,+140.00%,+92.00%,+1003.75%,+269.50%,+718.50%,+47.15%,-29.80%,+56.00%,+48.00%,+20.00%
K48,Bell,+241.60%,+262.10%,+268.60%,+41.50%,-37.50%,+243.52%,+84.48%,+739.20%,+967.07%,+1348.55%,+132.50%,-126.90%,+143.00%,+150.00%,+1637.30%,+1262.20%,+625.50%,+132.65%,-112.00%,+143.00%,+11.00%,+1362.75%,+1202.35%,+860.35%,+78.95%,-71.70%,+178.00%,+150.00%,+1054.75%,+404.50%,+726.50%,+48.25%,-26.10%,+64.00%,+55.00%,+12.00%
K48,MARS,+301.60%,+276.60%,+282.60%,+40.00%,-41.50%,+463.84%,+33.66%,+968.20%,+877.92%,+1566.62%,+47.25%,-60.50%,+174.00%,+246.00%,+2099.05%,+1613.20%,+658.85%,+139.00%,-124.50%,+149.00%,+93.00%,+1187.20%,+758.70%,+1052.70%,+152.50%,-138.50%,+235.00%,+158.00%,+981.00%,+395.50%,+836.00%,+135.00%,-112.50%,+122.00%,+81.00%,+23.00%
